"city","state","lat","lon"
"Bay Center","WA",46.6211,-123.9533
"La Center","WA",45.8586,-122.6767
"Mazama","WA",48.5921,-120.404
"Selleck","WA",47.3757,-121.8684
"Amanda Park","WA",47.4532,-123.9194
"Doris","WA",46.8676,-120.0098
"Sunnydale","WA",47.4632,-122.3337
"Van Zandt","WA",48.789,-122.1918
"McDonald","WA",47.0713,-119.2156
"Moclips","WA",47.2348,-124.2025
"Ocean Park","WA",46.4961,-124.0443
"West Valley","WA",46.5921,-120.6051
"Thompson Place","WA",47.0554,-122.7835
"Dungeness","WA",48.1468,-123.1232
"Birch Bay","WA",48.923,-122.7543
"Stratford","WA",47.4268,-119.2816
"Ione","WA",48.7402,-117.4223
"Tacoma","WA",47.2431,-122.4531
"Barberton","WA",45.7136,-122.6114
"Yacolt","WA",45.865,-122.4059
"Coulee Dam","WA",47.9688,-118.9761
"Almota","WA",46.7029,-117.4694
"Skamokawa","WA",46.2704,-123.4571
"Woodinville","WA",47.7569,-122.1478
"Swinomish Village","WA",48.4082,-122.5113
"Methow","WA",48.1289,-120.0056
"Bay View","WA",48.487,-122.4628
"Newaukum","WA",47.2573,-122.1018
"Kalaloch","WA",47.6045,-124.3724
"Meadow Glade","WA",45.7524,-122.5614
"Disautel","WA",48.345,-119.2299
"Copalis Crossing","WA",47.1079,-124.0693
"Burley","WA",47.4166,-122.6377
"Riverside","WA",48.5047,-119.5102
"Ocean Shores","WA",46.9685,-124.1521
"Bethel","WA",47.4874,-122.6175
"Grisdale","WA",47.357,-123.6124
"South Hill","WA",47.1203,-122.2848
"Island View","WA",46.2393,-119.2233
"Winona","WA",46.9457,-117.8005
"Leadpoint","WA",48.9094,-117.5875
"Brooklyn","WA",46.7762,-123.5099
"Mansfield","WA",47.8119,-119.638
"Sequim","WA",48.0747,-123.0944
"Esperance","WA",47.7937,-122.3469
"Springdale","WA",48.0572,-117.7466
"Okanogan","WA",48.3671,-119.5783
"Cedar Mountain","WA",47.4482,-122.0732
"Moses Lake","WA",47.1285,-119.2741
"Littlerock","WA",46.9018,-123.0179
"Trentwood","WA",47.6966,-117.2108
"Mabton","WA",46.2115,-119.9938
"Klickitat","WA",45.818,-121.1626
"Puyallup","WA",47.1794,-122.2902
"Cinebar","WA",46.6043,-122.5318
"San de Fuca","WA",48.2351,-122.7232
"Cathlamet","WA",46.2056,-123.3835
"Richardson","WA",48.4515,-122.8988
"Sumner","WA",47.2189,-122.2338
"Davenport","WA",47.6551,-118.1519
"Cliffdell","WA",46.9213,-121.042
"Fall City","WA",47.5717,-121.9134
"Dockton","WA",47.3718,-122.4593
"Conway","WA",48.3356,-122.3444
"Marshall","WA",47.5649,-117.4994
"Walla Walla","WA",46.067,-118.3365
"Canterwood","WA",47.3766,-122.6022
"Lexington","WA",46.1873,-122.9054
"Country Homes","WA",47.7478,-117.4196
"Altoona","WA",46.2699,-123.6144
"South Cle Elum","WA",47.1862,-120.9525
"Waldron","WA",48.6876,-123.0369
"Chesaw","WA",48.946,-119.0514
"Sunnyslope","WA",47.5045,-122.729
"Olympic View","WA",47.694,-122.7404
"Hood","WA",45.7248,-121.5581
"Elbe","WA",46.7652,-122.1946
"Venice","WA",47.667,-122.5799
"Cumberland","WA",47.2829,-121.9271
"Ostrander","WA",46.1926,-122.8921
"Cohassett Beach","WA",46.8655,-124.1053
"Deming","WA",48.8381,-122.2313
"Sekiu","WA",48.2637,-124.3012
"Terrace Heights","WA",46.6024,-120.4482
"Nemah","WA",46.512,-123.886
"Neilton","WA",47.4031,-123.8782
"Grays River","WA",46.3608,-123.589
"Ashford","WA",46.7537,-122.0113
"Boistfort","WA",46.5351,-123.1337
"Shore Acres","WA",47.3104,-122.5715
"Bothell","WA",47.7736,-122.2044
"South Broadway","WA",46.5662,-120.5167
"Edwall","WA",47.5046,-117.9511
"Georgetown","WA",47.3576,-121.9737
"Maryhill","WA",45.6928,-120.807
"Huntsville","WA",46.2871,-118.1072
"Greenbank","WA",48.0982,-122.5729
"Murphys Corner","WA",47.8782,-122.2068
"Tokeland","WA",46.709,-123.984
"Felida","WA",45.7138,-122.7103
"Fairview","WA",47.6215,-122.6685
"Tumwater","WA",46.989,-122.9172
"Uniontown","WA",46.5391,-117.0861
"Coupeville","WA",48.2172,-122.6775
"River Road","WA",48.0677,-123.1276
"Duvall","WA",47.7354,-121.9725
"Marcus","WA",48.6642,-118.0601
"Seattle Heights","WA",47.8104,-122.324
"Strandell","WA",48.9121,-122.3582
"Key Center","WA",47.3376,-122.7506
"Hanford","WA",46.5837,-119.3878
"Grand Mound","WA",46.8053,-123.0119
"Taholah","WA",47.3283,-124.2728
"Port Blakely","WA",47.5973,-122.5101
"Malone","WA",46.9779,-123.3035
"Boston Harbor","WA",47.1384,-122.901
"Rainier","WA",46.8917,-122.6867
"Menlo","WA",46.6215,-123.6471
"Azwell","WA",47.9371,-119.8765
"Glendale","WA",47.9395,-122.3585
"Monroe","WA",47.8596,-121.9853
"Sawyer","WA",46.4565,-120.3614
"Clarkston","WA",46.4152,-117.0502
"Spanaway","WA",47.0979,-122.4233
"Gig Harbor","WA",47.3353,-122.5968
"Big Lake","WA",48.3933,-122.2422
"Smyrna","WA",46.8393,-119.6623
"Carlton","WA",48.2482,-120.1162
"Monitor","WA",47.4868,-120.4181
"Des Moines","WA",47.3914,-122.3154
"Lucerne","WA",48.2024,-120.5912
"Carlisle","WA",47.1548,-124.0985
"Metaline Falls","WA",48.8616,-117.3705
"Breidablick","WA",47.802,-122.6493
"Snohomish","WA",47.9277,-122.097
"Richland","WA",46.2826,-119.2938
"Parkland","WA",47.1417,-122.4376
"Veradale","WA",47.6568,-117.1963
"Kummer","WA",47.2868,-122.0212
"Woodland","WA",45.9149,-122.7504
"Washougal","WA",45.5812,-122.3433
"Boyds","WA",48.7244,-118.1322
"Bonney Lake","WA",47.1788,-122.1699
"South Prairie","WA",47.1373,-122.094
"Larimers Corner","WA",47.8918,-122.1446
"Porter","WA",46.9489,-123.2736
"Lisabeula","WA",47.4073,-122.5176
"Saint John","WA",47.0915,-117.5887
"Spokane Valley","WA",47.6625,-117.2346
"Lake Cavanaugh","WA",48.3225,-122.0121
"Bellevue","WA",47.5953,-122.1551
"Custer","WA",48.9143,-122.6397
"Orcas","WA",48.5979,-122.9446
"Diablo","WA",48.7135,-121.1412
"Christopher","WA",47.334,-122.2321
"Midvale Corner","WA",47.9926,-122.4176
"Marysville","WA",48.0809,-122.1558
"Newcastle","WA",47.5303,-122.1633
"North Bend","WA",47.4898,-121.7738
"Snoqualmie","WA",47.5293,-121.8412
"Three Lakes","WA",47.942,-121.9924
"Kendall","WA",48.9167,-122.1382
"Kanaskat","WA",47.3204,-121.8937
"Schrag","WA",47.0732,-118.8542
"Wilbur","WA",47.7582,-118.7115
"Enumclaw","WA",47.2017,-121.9897
"Nile","WA",46.8368,-120.9455
